ID,ti,al,ar
1027390,Ass Back Home (Feat. Neon Hitch),The Papercut Chronicles II,Gym Class Heroes
1355114,Brokenhearted,Hello,Karmin
5044805,Loving You Is Easy,Union J (Deluxe Version),Union J
5017807,Talk Dirty (feat. 2 Chainz),Tattoos (Deluxe Version),Jason Derülo
1965468,Fashion Show,Hot Pink Heart (Part One),Cory Lee
5067284,All Bad,All Bad - Single,Justin Bieber
458055,Road Trip,Flashback,Darin
489085,Loving You,靓声靓影,张靓颖
664107,Every Time I Look Into Your Eyes,2010年3月新歌速递,BY2
669777,Waving Flag,2010年世界杯官方专辑 Listen Up! The Official 2010 FIFA World Cup Album,K'naan
65484,Why (LP Version),Shades Of Purple,M2M
711341,Party At A Rich Dude's House,Animal（JP Deluxe Edition）,Ke$ha
4885653,Symphony In H (90s 试听版),Symphony In H - Single,Eminem
93944,情感的禁区,浪漫情歌篇,刘德华
4993309,Back Together,Back Together - Single,Jesse McCartney
1057891,Don't Want You Back,2011年12月欧美新歌速递,Kelly Rowland
4721336,Kiss You,Kiss You - Single,Megan Nicole
711342,Back$tabber,Animal（JP Deluxe Edition）,Ke$ha
938293,Give It Up,Killer Sounds,Hard-Fi
5004373,11,11 - Single,Cassadee Pope
449294,Paper Gangsta,欧美10月最新单曲推荐,Lady GaGa
639333,Cold Water,0(零),Damien Rice
698460,Deja Vu,Streets Of Gold,3OH!3
2451155,凋零的回忆 渔圈,在线热搜（华语）系列46,渔圈
786924,Psycho,Bad Girls Club,Kimberly Cole
1614700,Live My Life,舞出我人生4 电影原声带 Step Up Revolution (Music from the Motion Picture),Far East Movement
1907758,Flower,The Abbey Road Sessions,Kylie Minogue
4994155,Take Me (feat. Kyler England),Ministry of Sound - Ibiza Annual 2013,Ti?sto
5097757,Change Me,Change Me - Single,Justin Bieber
489535,Desperado,Desperado,The Eagles
657025,give me your love tonight,2010年一月热搜歌,Twins
686992,You Lost Me,Bionic (Deluxe Version),Christina Aguilera
4968486,Stars Dance,Stars Dance,Selena Gomez
316189,Reflection,Christina Aguilera,Christina Aguilera
465289,The Loneliness,A Love Story,Babyface
1247067,Starships,Starships,Nicki Minaj
1241019,Alive,The E.N.D.,Black Eyed Peas
926554,Miles Away,Hard Candy (Deluxe Version),Madonna
320346,Disco Inferno,The Massacre,50 Cent
4968496,Come & Get It,Stars Dance,Selena Gomez
615658,莎莉花园,恩雅的爱尔兰情歌,Enya
1145720,Sober,悦曲悠然,P!nk
1190848,butterfly,曾经的歌系列 42,和田光司
648079,War,All Or Nothing,Jay Sean
939659,Free,Perfectionist (Deluxe Version),Natalia Kills
718923,In The End,Splitting The DNA (Dics1),Linkin Park
4784530,Leave The Lights On,The Bright Side,Meiko
1162354,Born to Make You Happy,...Baby One More Time(Deluxe Version),Britney Spears
786933,"Smack You - Reloaded, Feat. Dr. Hollywood",Bad Girls Club,Kimberly Cole
666144,Somebody To Love,情人节 电影原声带 Valentine's Day (Original Motion Picture Soundtrack) ,Leighton Meester
1005893,Mr. Know It All,Stronger,Kelly Clarkson
815558,I Remember Me,I Remember Me,Jennifer Hudson
1032776,Wide Open,Greatest Hits,WestLife
661818,dreaming my dream,2010年三月热搜歌,The Cranberries
4798070,I Want Crazy,Hunter Hayes (Encore) [Deluxe Version],Hunter Hayes
939654,Bad Dog,Bad Dog - EP,Neon Hitch
721166,Waiting For The End,A Thousand Suns,Linkin Park
1568633,Whataya Want From Me,Whataya Want From Me - Single,Adam Lambert
440699,Unbelievable,Beautiful Songs,Craig David
417249,33,Beautiful Seed,Corrinne May
672837,Shakespeare,Sparks Fly,Miranda Cosgrove
97698,I Want It That Way,The Hits: Chapter One,Backstreet Boys
1900549,Treat Her Like A Lady,中国好声音终极考核（上）,徐海星
675892,The Escapist (BSide),The Sound of Nightwish Reborn,Nightwish
638137,Jam,Michael Jackson's This Is It (The Music That Inspired the Movie),Michael Jackson
1484703,Never Let You Go,My World 2.0,Justin Bieber
946308,Get Back,Saxobeats,Alexandra Stan
1136484,Just a Step Away,Curiosity - EP,Carly Rae Jepsen
1307902,The Little Things,Coco,Colbie Caillat
2835952,Imagine Me Without You,On My Knees - The Best Of Jaci Velasquez,Jaci Velasquez
4758636,Sad Beautiful Tragic (Instrumental With Background Vocals),Taylor Swift Karaoke: Red,Taylor Swift
1428136,Timebomb,Timebomb,Kylie Minogue
4776291,All Night (feat. David Rush) [Starkillers Remix Radio Edit],All Night (feat. David Rush ) [Starkillers Remix Radio Edit] - Single,Pitbull
397054,Crazy Pipe,商业舞曲专辑21,舞曲
1226622,Think About the Way,Riot On the Dancefloor,Groove Coverage
460850,Unite This Heart,Set Your Body Free,Danny
4975328,You My Everything,Halcyon Days,Ellie Goulding
1078780,Best Friend,Gravity,Jason Chen
2466314,Don't Rush (feat. Vince Gill),Greatest Hits - Chapter One,Kelly Clarkson
4916619,Take A Picture,Take a Picture - Single,Carly Rae Jepsen
1338174,Don't Worry Be Happy,Don't Worry Be Happy,Guy Sebastian
3584407,Another Love,Songs from Another Love - EP,Tom Odell
822770,Don't Turn Out the Lights,2011年4月欧美新歌速递1,Backstreet Boys
311665,Tomorrow,Diamond Collection,Avril Lavigne
690080,So Special,Stadium,Akon
878174,Heartless,808s & Heartbreak,Kanye West
4750244,High On Your Love,High On Your Love,Sharon Doorson
425288,don't stop the music,Power Hits 2 冠军全击 2,Rihanna
972036,No I.D.,Do It In the AM,Frankmusik
458059,What if,Flashback,Darin
698471,Don't Trust Me,Streets Of Gold,3OH!3
2468507,Everybody Fucks (feat. Akon & David Rush),Global Warming (Deluxe Edition),Pitbull
3586734,Diamonds,NRJ Music Awards 2013,Rihanna
722042,Never Gonna Leave This Bed,Hands All Over(Deluxe Edition),Maroon 5
1588297,Something Worth Living For,Shayne Ward,Shayne Ward
676755,LOVE,Love is... selected by DJ Mayumi,DJ MAYUMI
1005900,I Forgive You,Stronger,Kelly Clarkson
961867,Don't Wanna Go Home,Future History (Deluxe Version),Jason Derülo
4749636,Drive By,BRIT Awards 2013,Train
424763,L.O.V.E.,Juicy 女人帮,Ashlee Simpson
1355242,We Run the Night,Now That's What I Call Music Vol. 42,Havana Brown
4728115,On Top of the World (Radio Edit) [DJ Antoine vs. Mad Mark] {feat. B-Case & Joey Moe},Sky Is the Limit,DJ Antoine
424627,crazy over you,Jaleesa,Jaleesa
1190845,fiction,曾经的歌系列 42,BEAST
391506,The Day You Went Away,CS音乐 (CS Movies Cool),游戏原声
5022896,Adore You,Bangerz (Deluxe Version),Miley Cyrus
716250,做个真的我（笑红尘粤语版）,在线热搜（华语）系列36,胡伟立
732382,Ours,Speak Now (Deluxe Version),Taylor Swift
4776686,Don't You Worry Child (feat. Josesph Vincent),Don’t You Worry Child (feat. Josesph Vincent) - Single,Jason Chen
1402537,In the End (Live),Burn It Down - EP,Linkin Park
627662,I Didn't Know My Own Strength,I Look to You,Whitney Houston
1233061,Enemy,Original Me/The Greatest Hits,Cascada
4829410,Hit The Lights,When The Sun Goes Down(Deluxe Edition),Selena Gomez + the Scene
1021583,Moves Like Jagger,Moves Like Jagger (The Voice Performance),Maroon 5
4740109,She Don't Like The Lights (Acoustic Version),Believe Acoustic,Justin Bieber
311528,As Long As You Love Me 只要你爱我就好,Greatest Hits至尊无敌超精选,Backstreet Boys
1028219,All about tonight,Young Foolish Happy,Pixie Lott
406569,1973,All the Lost Souls,James Blunt
814685,Don't Hold Your Breath,Killer Love,Nicole Scherzinger
662386,Better Than Her,欧美2010年3月最新单曲,Matisse
818397,One Day,Light,MatisYahu
1226621,Angeline,Riot On the Dancefloor,Groove Coverage
5063080,Poker Face,NOW That's What I Call music USA,Lady GaGa
1341066,The Way I Like It,Grace,Mandy Capristo
303658,Pretty Boy (Mandarin),The Day You Went Away The Best Of M2M,M2M
5079072,Alone (试听版),Alone - Single,Justin Bieber
4791357,Need U (100%) [feat. A*M*E],Need U (100%) [feat. A*M*E] [Remixes] - EP,Duke Dumont
4996361,Baby (Acoustic),My Worlds Acoustic,Justin Bieber
849042,THIS LOVE,The Ultimate-International Best,BigBang
1253581,Let's Play,Tell the World,Kristina Maria
416852,For No Reason,Start From Here,王若琳
519125,Sorry,舞池告白（Confessions on a Dancefloor）,Madonna
519118,Hung Up,舞池告白（Confessions on a Dancefloor）,Madonna
589299,Better Together,Better Together EP,Jack Johnson
436845,I Can Walk On Water,Now You're Gone,Basshunter
4707231,Lonely Boy,2013 Grammy Nominees (2013格莱美的喝彩),The Black Keys
64488,Killing Me Softly With His Song (LP Version),Killing Me Softly,Roberta Flack
404092,We're All in This Together,歌舞青春 电影原声带 High School Musical,High School Musical
1223644,Sweet Love,Fortune (Deluxe Version),Chris Brown
732375,Never Grow Up,Speak Now (Deluxe Version),Taylor Swift
348857,Crazy In Love,Dangerously in Love,Beyoncé
4975378,Trust Me,In a World Like This,Backstreet Boys
4749668,Power Trip (feat. Miguel),Power Trip (feat. Miguel) – Single,J. Cole
4796759,Time For the Show,Time For the Show,Kerrie Roberts
1154206,Chasing Pavements (Live At Hotel Cafe),19 (Bonus Tracks),Adele
440657,Don't Know Why,Beautiful Songs,Norah Jones
1819235,Wings,Wings (Remixes) - EP,Little Mix
4996046,Let Her Go,Now: The Hits of Spring 2013,Passenger
4816531,Hall of Fame (Glee Cast Version),All Or Nothing,Glee Cast
811157,Next 2 You (featuring Justin Bieber),F.A.M.E.(Deluxe Edition),Chris Brown
572654,Down By The Salley Gardens,Camomile Extra,藤田惠美
410705,Us Against The World,Back Home,WestLife
863573,Hotel Room Service,Euphoric,Pitbull
1439976,50 Ways To Say Goodbye,California 37,Train
1233060,Pyromania,Original Me/The Greatest Hits,Cascada
416854,Now,Start From Here,王若琳
1810265,Bom Bom,Bom Bom,SAM & THE WOMP
808645,Up Against the Wall,Page One,Tino Coury
776541,Tu Nu Ti Dai Seama,最新汽车升级版1 - 车载低音炮,Nek Claudia & De Marco
